Case_Number,Filing_Date,Case_Type,Division,Clerk_ID,Processing_Days,Pages,Complexity,Digital_Filing,Errors,Satisfaction,Status,Close_Date
2026-CV-0001,2026-01-02,Contract,Civil,CLK001,18,45,Medium,Yes,0,4.5,Closed,2026-01-20
2026-CV-0002,2026-01-03,Tort,Civil,CLK002,22,120,High,No,1,3.8,Closed,2026-01-25
2026-CV-0003,2026-01-04,Property,Civil,CLK001,15,28,Low,Yes,0,4.8,Closed,2026-01-19
2026-CR-0001,2026-01-05,Felony,Criminal,CLK003,12,85,High,Yes,0,4.2,Closed,2026-01-17
2026-CR-0002,2026-01-08,Misdemeanor,Criminal,CLK002,8,35,Low,Yes,0,4.7,Closed,2026-01-16
2026-FM-0001,2026-01-09,Divorce,Family,CLK004,28,92,High,No,2,3.5,Closed,2026-02-06
2026-FM-0002,2026-01-10,Custody,Family,CLK004,25,78,Medium,Yes,1,4.0,Closed,2026-02-04
2026-PB-0001,2026-01-11,Estate,Probate,CLK005,35,150,High,No,1,3.9,Closed,2026-02-15
2026-CV-0004,2026-01-12,Contract,Civil,CLK001,16,42,Medium,Yes,0,4.6,Closed,2026-01-28
2026-CV-0005,2026-01-15,Employment,Civil,CLK002,24,135,High,Yes,1,3.7,Closed,2026-02-08
2026-CR-0003,2026-01-16,Felony,Criminal,CLK003,14,95,High,Yes,0,4.1,Closed,2026-01-30
2026-CR-0004,2026-01-17,Traffic,Criminal,CLK002,5,18,Low,Yes,0,4.9,Closed,2026-01-22
2026-FM-0003,2026-01-18,Support,Family,CLK004,22,65,Medium,Yes,0,4.3,Closed,2026-02-09
2026-PB-0002,2026-01-19,Trust,Probate,CLK005,38,142,High,No,2,3.6,Closed,2026-02-26
2026-CV-0006,2026-01-22,Tort,Civil,CLK001,19,88,Medium,Yes,0,4.4,Closed,2026-02-10
2026-CV-0007,2026-01-23,Contract,Civil,CLK002,17,52,Medium,Yes,0,4.5,Closed,2026-02-09
2026-CR-0005,2026-01-24,Misdemeanor,Criminal,CLK003,9,32,Low,Yes,0,4.8,Closed,2026-02-02
2026-CR-0006,2026-01-25,DUI,Criminal,CLK002,11,48,Medium,Yes,0,4.5,Closed,2026-02-05
2026-FM-0004,2026-01-26,Divorce,Family,CLK004,30,108,High,No,1,3.8,Closed,2026-02-25
2026-FM-0005,2026-01-29,Adoption,Family,CLK004,26,82,Medium,Yes,0,4.4,Closed,2026-02-24
2026-PB-0003,2026-01-30,Guardianship,Probate,CLK005,32,125,High,Yes,1,4.0,Closed,2026-03-03
2026-CV-0008,2026-01-31,Property,Civil,CLK001,14,38,Low,Yes,0,4.7,Closed,2026-02-14
2026-CV-0009,2026-02-01,Contract,Civil,CLK002,21,95,High,Yes,1,4.0,Closed,2026-02-22
2026-CR-0007,2026-02-02,Felony,Criminal,CLK003,15,102,High,Yes,0,4.2,Closed,2026-02-17
2026-CR-0008,2026-02-05,Traffic,Criminal,CLK002,4,15,Low,Yes,0,4.9,Closed,2026-02-09
2026-FM-0006,2026-02-06,Custody,Family,CLK004,27,88,High,Yes,1,3.9,Closed,2026-03-05
2026-FM-0007,2026-02-07,Support,Family,CLK004,20,55,Medium,Yes,0,4.5,Closed,2026-02-27
2026-PB-0004,2026-02-08,Estate,Probate,CLK005,40,168,High,No,2,3.5,Closed,2026-03-20
2026-CV-0010,2026-02-09,Employment,Civil,CLK001,23,118,High,Yes,0,4.1,Closed,2026-03-04
2026-CV-0011,2026-02-12,Tort,Civil,CLK002,18,72,Medium,Yes,0,4.4,Closed,2026-03-02
2026-CR-0009,2026-02-13,Misdemeanor,Criminal,CLK003,7,28,Low,Yes,0,4.8,Closed,2026-02-20
2026-CR-0010,2026-02-14,DUI,Criminal,CLK002,10,42,Medium,Yes,0,4.6,Closed,2026-02-24
2026-FM-0008,2026-02-15,Divorce,Family,CLK004,29,98,High,No,1,3.7,Closed,2026-03-16
2026-PB-0005,2026-02-16,Trust,Probate,CLK005,36,138,High,Yes,1,3.8,Closed,2026-03-24
2026-CV-0012,2026-02-19,Contract,Civil,CLK001,15,48,Medium,Yes,0,4.6,Closed,2026-03-06
2026-CV-0013,2026-02-20,Property,Civil,CLK002,13,35,Low,Yes,0,4.7,Closed,2026-03-05
2026-CR-0011,2026-02-21,Felony,Criminal,CLK003,16,112,High,Yes,0,4.0,Closed,2026-03-09
2026-CR-0012,2026-02-22,Traffic,Criminal,CLK002,3,12,Low,Yes,0,5.0,Closed,2026-02-25
2026-FM-0009,2026-02-23,Adoption,Family,CLK004,24,75,Medium,Yes,0,4.5,Closed,2026-03-19
2026-FM-0010,2026-02-26,Custody,Family,CLK004,28,92,High,Yes,1,3.9,Closed,2026-03-26
2026-PB-0006,2026-02-27,Guardianship,Probate,CLK005,34,130,High,Yes,0,4.1,Closed,2026-04-02
2026-CV-0014,2026-02-28,Tort,Civil,CLK001,20,85,Medium,Yes,0,4.3,Closed,2026-03-20
2026-CV-0015,2026-03-01,Employment,Civil,CLK002,25,142,High,Yes,1,3.8,Closed,2026-03-26
2026-CR-0013,2026-03-04,Misdemeanor,Criminal,CLK003,8,30,Low,Yes,0,4.7,Closed,2026-03-12
2026-CR-0014,2026-03-05,DUI,Criminal,CLK002,12,52,Medium,Yes,0,4.4,Closed,2026-03-17
2026-FM-0011,2026-03-06,Divorce,Family,CLK004,31,105,High,No,2,3.6,Closed,2026-04-06
2026-FM-0012,2026-03-07,Support,Family,CLK004,21,62,Medium,Yes,0,4.4,Closed,2026-03-28
2026-PB-0007,2026-03-08,Estate,Probate,CLK005,42,175,High,No,1,3.7,Closed,2026-04-19
2026-CV-0016,2026-03-11,Contract,Civil,CLK001,16,55,Medium,Yes,0,4.5,Closed,2026-03-27
2026-CV-0017,2026-03-12,Property,Civil,CLK002,12,32,Low,Yes,0,4.8,Closed,2026-03-24
